age_group,age_lo,age_hi,age_unit,sex,factor,item_code,item_name,unit,lower_is_better,status,n_measured,n,method,has_grade3,anchor_0,anchor_40,anchor_60,anchor_80,anchor_100,value_min,value_max,score_p10,score_p25,score_p50,score_p75,score_p90,score_mean
유소년,11,11,세,M,근지구력,009,윗몸말아올리기,회,0,ok,29757,29757,ecdf,1,1.0,19.0,26.0,36.0,80.0,0.0,152.0,9.78,26.28,55.08,81.54,92.8,53.36
유소년,11,11,세,M,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,29781,29781,ecdf,1,-13.94,4.0,7.8,11.5,18.0,-30.0,35.0,7.2,19.55,40.81,68.1,87.72,44.38
유소년,11,11,세,M,심폐지구력,020,왕복오래달리기,회,0,ok,29689,29689,ecdf,1,12.0,46.0,59.0,77.0,112.0,0.0,163.0,9.68,29.15,58.28,82.91,93.86,55.16
유소년,11,11,세,M,순발력,022,제자리멀리뛰기,cm,0,ok,29713,29713,ecdf,0,94.0,,147.0,161.0,200.0,0.0,250.0,11.95,32.56,65.39,84.97,95.0,58.45
유소년,11,11,세,M,근력,028,상대악력,%,0,ok,29813,29813,ecdf,1,22.5,35.4,40.6,46.5,64.2,0.0,186.1,11.69,33.5,60.71,83.35,94.28,57.1
유소년,11,11,세,M,민첩성,043,반복옆뛰기,회,0,ok,29544,29544,ecdf,0,16.0,,30.0,33.0,43.0,0.0,92.0,13.61,35.58,66.62,87.24,94.77,58.97
유소년,11,11,세,F,근지구력,009,윗몸말아올리기,회,0,ok,28261,28261,ecdf,1,1.0,18.0,26.0,36.0,80.0,0.0,123.0,8.38,25.39,48.34,74.13,90.39,49.62
유소년,11,11,세,F,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,28308,28308,ecdf,1,-9.6,3.0,6.5,10.9,23.8,-29.5,35.2,17.48,46.22,73.92,88.71,96.05,65.44
유소년,11,11,세,F,심폐지구력,020,왕복오래달리기,회,0,ok,28215,28215,ecdf,1,15.0,40.0,51.0,62.0,101.0,0.0,191.0,11.69,32.84,56.37,82.64,94.12,55.76
유소년,11,11,세,F,순발력,022,제자리멀리뛰기,cm,0,ok,28234,28234,ecdf,0,85.0,,146.0,165.0,184.0,0.0,217.0,7.23,21.07,45.64,66.44,80.0,44.67
